Technology	Energy output [GWh/y]
PV	42925.238
WIND	12117.114
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	5326.080
IND_BOILER_GAS	169.178
IND_BOILER_WOOD	7991.431
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	17293.396
DHN_HP_ELEC	6764.998
DHN_GEOTHERMAL	6764.998
DEC_HP_ELEC	18036.905
DEC_THERMAL_HP_GAS	5661.778
DEC_BOILER_WOOD	758.677
THERMAL_SOLAR	7819.377
DEC_HEATER_ELEC	3797.072
POWER_TO_GAS_EFF	596.800
H2_ELECTROLYSIS	3814.979
H2_FROM_BIOMASS	423.887
GASIFICATION_SNG	1116.699

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	2262.605
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
