Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	45.356426
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_BOILER_GAS	1.494118
IND_BOILER_WOOD	1.232208
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.126570
DHN_HP_ELEC	8.274369
DHN_BOILER_GAS	1.596184
DHN_GEOTHERMAL	60.628134
DEC_HP_ELEC	85.259717
DEC_THERMAL_HP_GAS	34.445856
DEC_BOILER_GAS	4.620503
DEC_BOILER_OIL	2.310252
THERMAL_SOLAR	54.521240
H2_ELECTROLYSIS	0.023245
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1699.880520
NG	9230.048531
NG_CCS	1987.315958
WOOD	79.546469
WASTE	1671.300000
