Technology	Energy output [GWh/y]
CCGT_CCS	42059.597
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_BOILER_GAS	12822.101
IND_BOILER_WOOD	5714.545
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	6376.384
DHN_BOILER_GAS	4250.923
DHN_GEOTHERMAL	10627.307
DEC_HP_ELEC	23235.108
DEC_THERMAL_HP_GAS	4503.667
DEC_BOILER_GAS	9294.043
DEC_BOILER_OIL	4647.022
THERMAL_SOLAR	4790.376
H2_ELECTROLYSIS	8726.920

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5483.486
NG	34185.365
NG_CCS	73604.295
WOOD	6628.872
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
