Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	6.250482	6.250482	6.250482	5.382274	3.506311	1.641395	1.650200	2.918686	6.250482	6.250482	6.250482	6.250482
PV	0.386000	0.694800	0.926400	1.158000	1.158000	1.235200	1.235200	1.235200	1.003600	0.694800	0.386000	0.308800
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.025000	3.025000	2.299000	1.936000	2.541000	3.388000	3.267000	3.146000	3.509000	2.541000	2.541000	2.783000
HYDRO_RIVER	1.282500	1.111500	1.325250	1.881000	2.650500	3.291750	3.291750	3.035250	2.351250	1.581750	1.496250	1.453500
IND_BOILER_GAS	2.501739	2.501739	2.298777	1.237112	1.237112	1.237112	2.501739	1.237112	1.289936	1.259971	2.501739	2.501739
IND_BOILER_WOOD	0.288130	0.288130	0.288130	0.288130	0.288130	0.288130	0.000000	0.288130	0.235306	0.288130	0.288130	0.288130
IND_BOILER_WASTE	1.158395	1.158395	0.770975	1.158395	1.158395	1.158395	0.181899	1.158395	1.158395	1.158395	1.158395	1.158395
IND_HEATER_ELEC	0.000000	0.000000	0.590382	1.264626	1.264626	1.264626	1.264626	1.264626	1.264626	1.241767	0.000000	0.000000
DHN_HP_ELEC	1.183405	1.183405	1.183405	0.314111	0.357311	0.406606	0.406606	0.406606	0.246628	0.699417	1.183405	1.183405
DHN_BOILER_GAS	1.492691	1.450226	0.303663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.414639	2.206108
DHN_GEOTHERMAL	2.248818	2.248818	2.248818	0.829693	0.049296	0.000000	0.000000	0.000000	0.651444	1.847441	2.248818	2.248818
DEC_HP_ELEC	6.411659	6.186545	3.953564	0.658833	0.000000	0.000000	0.000000	0.000000	0.340907	2.291214	4.401860	7.758346
DEC_THERMAL_HP_GAS	1.043546	1.034548	0.791602	0.242362	0.086156	0.086156	0.086156	0.086156	0.190294	0.539657	0.815116	1.194713
DEC_BOILER_GAS	2.153526	2.134957	1.633598	0.500153	0.177798	0.177798	0.177798	0.177798	0.392701	1.113669	1.682124	2.465483
DEC_BOILER_OIL	1.076763	1.067479	0.816799	0.250077	0.088899	0.088899	0.088899	0.088899	0.196351	0.556834	0.841062	1.232742
THERMAL_SOLAR	0.295775	0.443663	0.591551	0.591551	0.690142	0.739438	0.739438	0.739438	0.640846	0.492959	0.345071	0.246479
H2_ELECTROLYSIS	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.270580	1.259625	0.963823	0.295090	0.104901	0.104901	0.104901	0.104901	0.231694	0.657065	0.992453	1.454635
NG	7.678991	7.606488	5.429718	2.329051	1.866578	1.866578	3.232375	1.866578	2.231943	3.233929	5.838390	8.897036
NG_CCS	10.938344	10.938344	10.938344	9.418979	6.136045	2.872440	2.887851	5.107700	10.938344	10.938344	10.938344	10.938344
WOOD	0.334231	0.334231	0.334231	0.334231	0.334231	0.334231	0.000000	0.334231	0.272955	0.334231	0.334231	0.334231
WASTE	1.413242	1.413242	0.940589	1.413242	1.413242	1.413242	0.221916	1.413242	1.413242	1.413242	1.413242	1.413242

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
