Technology	Installed capacity [GW]
CCGT	0.384976
PV	41.076733
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.477271
IND_BOILER_WASTE	1.470993
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	0.752845
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	5.984580
DHN_GEOTHERMAL	1.034416
DEC_HP_ELEC	6.235762
DEC_THERMAL_HP_GAS	2.494305
DEC_BOILER_GAS	2.643518
THERMAL_SOLAR	2.820773
H2_ELECTROLYSIS	0.069997
H2_FROM_GAS	0.279547

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_NG	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
