Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	18.656467	8.122999
PV	1570.281524	1314.455447
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_BOILER_GAS	12.040778	3.121361
IND_BOILER_WASTE	13.981259	3.618644
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	16.302624	9.636413
DHN_GEOTHERMAL	87.894213	62.168383
DEC_HP_ELEC	242.379662	140.304653
DEC_THERMAL_HP_GAS	57.646385	25.217423
DEC_BOILER_GAS	34.583565	13.481944
THERMAL_SOLAR	148.522814	24.371480
H2_ELECTROLYSIS	2.729395	3.499834
H2_FROM_GAS	11.968909	19.232838
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	2097.114540
WASTE	0.000000
