Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	2175.173458	1820.800000
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_GAS	17.162275	4.449019
IND_BOILER_WOOD	17.654147	4.569264
IND_BOILER_WASTE	19.872672	5.143465
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	73.111049	43.215638
DHN_BOILER_GAS	7.121329	1.846080
DHN_GEOTHERMAL	476.080692	336.736239
DEC_HP_ELEC	415.119568	240.297418
DEC_THERMAL_HP_GAS	27.738751	12.134322
DEC_BOILER_GAS	55.887413	21.786966
DEC_BOILER_OIL	25.104771	19.437391
THERMAL_SOLAR	526.532276	86.400000
H2_ELECTROLYSIS	38.845967	49.811190
H2_FROM_GAS	42.653685	68.540197
PYROLYSIS	131.072970	62.141148
P2G_INVESTMENT	879.413566	747.548169

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	346.082713
NG	808.726215
WOOD	1141.947000
WASTE	0.000000
