Technology	Energy output [GWh/y]
PV	56112.504
WIND	14850.912
HYDRO_DAM	23754.785
HYDRO_RIVER	27167.909
GEOTHERMAL_ELEC	4905.600
IND_BOILER_GAS	10423.417
IND_BOILER_WOOD	8113.230
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7965.919
DHN_BOILER_GAS	5310.613
DHN_GEOTHERMAL	13276.532
DEC_HP_ELEC	26663.401
DEC_THERMAL_HP_GAS	2996.494
DEC_BOILER_GAS	10665.361
DEC_BOILER_OIL	5332.680
THERMAL_SOLAR	7668.867
POWER_TO_GAS_EFF	15268.778
GAS_TO_POWER_EFF	811.062
H2_ELECTROLYSIS	5685.625
H2_FROM_GAS	3041.296
PYROLYSIS	1911.769

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	4380.794
NG	23106.463
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
