Technology	GWP_construction [ktCO2-eq/y]
PV	3203.065866
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
IND_BOILER_WOOD	3.904457
IND_BOILER_WASTE	2.807592
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	12.267043
DHN_GEOTHERMAL	34.925338
DEC_HP_ELEC	67.631595
DEC_THERMAL_HP_GAS	56.387278
DEC_BOILER_GAS	1.564510
DEC_BOILER_WOOD	0.061828
THERMAL_SOLAR	110.600000
H2_ELECTROLYSIS	0.010162
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.008601

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	2974.726874
WOOD	147.348000
WASTE	1671.300000
ELEC_EXPORT	0.000000
