Technology	Energy output [GWh/y]
PV	37214.426
WIND	14104.992
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_BOILER_WOOD	10458.834
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	14995.171
DHN_HP_ELEC	5976.676
DHN_GEOTHERMAL	5976.676
DEC_HP_ELEC	18431.066
DEC_THERMAL_HP_GAS	7372.426
DEC_BOILER_GAS	3146.979
DEC_BOILER_WOOD	124.366
THERMAL_SOLAR	7787.294
POWER_TO_GAS_EFF	474.750
GAS_TO_POWER_EFF	622.045
H2_ELECTROLYSIS	2363.013
H2_FROM_GAS	1875.853

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	11017.507
WOOD	12279.000
WASTE	11142.000
ELEC_EXPORT	0.288

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
