Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	310.703003	0.000000	0.000000	0.000000	0.000000	63.515424	132.406023	696.868076	2400.000000	2400.000000	1759.519952	740.723376
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.088216	0.092595	0.758686	2.365461	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.577984	0.462356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.889556	1.369350
POWER_TO_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
