Technology	Installed capacity [GW]
CCGT_CCS	4.488476
PV	7.836600
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.789869
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	1.463417
DHN_HP_ELEC	0.744388
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	1.184467
DHN_BOILER_OIL	9.598677
DHN_GEOTHERMAL	1.823756
DEC_HP_ELEC	9.508815
DEC_THERMAL_HP_GAS	3.488471
DEC_BOILER_GAS	3.891135
DEC_BOILER_OIL	1.945568
THERMAL_SOLAR	1.585073
H2_ELECTROLYSIS	0.058306
H2_FROM_GAS	0.279547

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	1.776884
CAR_BEV	1.776884
BUS_NG	2.665327
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
