Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	32.999276
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_BOILER_GAS	2.018552
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.146342
DHN_HP_ELEC	5.204764
DHN_BOILER_GAS	0.856997
DHN_GEOTHERMAL	49.168462
DEC_HP_ELEC	87.111314
DEC_THERMAL_HP_GAS	66.612361
DEC_BOILER_GAS	4.829586
DEC_BOILER_OIL	2.414793
THERMAL_SOLAR	17.530905
H2_ELECTROLYSIS	0.001224
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	2542.366302
DIESEL	1693.527267
OIL	1776.801868
NG	13597.077972
NG_CCS	1473.654583
WASTE	1671.300000
