Technology	GWP_construction [ktCO2-eq/y]
CCGT	3.457779
PV	3424.670553
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_GAS	3.693844
IND_BOILER_GAS	1.729462
IND_BOILER_WASTE	2.495207
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	6.900451
DHN_GEOTHERMAL	33.804594
DEC_HP_ELEC	67.631595
DEC_THERMAL_HP_GAS	56.387278
DEC_BOILER_GAS	4.184615
THERMAL_SOLAR	30.062576
H2_ELECTROLYSIS	0.001639
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	9412.796743
WASTE	1671.300000
