Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	635.317379	2400.000000	2400.000000	2400.000000	247.497593
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.853921	2.450948	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.332658	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.893148
POWER_TO_GAS	1.795033	1.652499	2.960724	2.976579	2.976579	2.976579	2.976579	2.976579	2.976579	2.976579	1.828196	2.976579
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
