Technology	Energy output [GWh/y]
CCGT_CCS	67059.729
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_BOILER_GAS	8429.014
IND_BOILER_WOOD	10107.633
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7698.669
DHN_BOILER_GAS	5132.446
DHN_GEOTHERMAL	12831.115
DEC_HP_ELEC	22133.204
DEC_BOILER_GAS	8853.282
DEC_BOILER_OIL	4426.641
THERMAL_SOLAR	7777.754
DEC_HEATER_ELEC	1075.528
POWER_TO_GAS_EFF	23512.179
H2_ELECTROLYSIS	8726.920
PYROLYSIS	369.431

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	4854.005
NG	3373.995
NG_CCS	117354.526
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
