Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	1342.124078	1123.468803
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_COGEN_GAS	85.330595	95.408037
IND_BOILER_GAS	5.302065	1.374468
IND_BOILER_WOOD	14.503411	3.753787
IND_BOILER_WASTE	12.655300	3.275457
IND_HEATER_ELEC	74.297524	3.961815
DHN_HP_ELEC	23.700001	14.008972
DHN_BOILER_GAS	6.473520	1.678147
DHN_GEOTHERMAL	176.728360	125.001590
DEC_HP_ELEC	371.447937	215.017520
DEC_THERMAL_HP_GAS	64.768113	28.332824
DEC_BOILER_GAS	50.007915	19.494922
DEC_BOILER_OIL	22.463685	17.392528
THERMAL_SOLAR	145.084104	23.807214
H2_ELECTROLYSIS	38.845967	49.811190
H2_FROM_GAS	42.653685	68.540197
P2G_INVESTMENT	225.916611	192.041101

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	444.814966
NG	1379.471636
WOOD	1141.947000
WASTE	0.000000
