Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	280.729542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2400.000000	2400.000000	2066.477382	777.207687
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.333333	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.667309	0.417752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.463226	1.732889
POWER_TO_GAS	0.099391	0.000000	0.136939	0.136939	0.136939	0.136939	0.136939	0.136939	0.136939	0.136939	0.136939	0.136939
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
