Technology	Installed capacity [GW]
CCGT_CCS	6.166070
PV	7.836600
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.789869
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	1.269579
DHN_HP_ELEC	1.182061
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	2.183959
DHN_BOILER_OIL	7.769566
DHN_GEOTHERMAL	2.215704
DEC_HP_ELEC	9.328069
DEC_THERMAL_HP_GAS	1.889394
DEC_BOILER_GAS	3.731228
DEC_BOILER_OIL	1.865614
THERMAL_SOLAR	4.710370
H2_ELECTROLYSIS	1.106915

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
