Technology	Energy output [GWh/y]
CCGT_CCS	42061.318
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_BOILER_GAS	18536.647
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	6312.366
DHN_BOILER_GAS	4208.244
DHN_GEOTHERMAL	10520.610
DEC_HP_ELEC	23288.457
DEC_THERMAL_HP_GAS	4717.061
DEC_BOILER_GAS	9315.383
DEC_BOILER_OIL	4657.691
THERMAL_SOLAR	4598.321
H2_ELECTROLYSIS	8726.920

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5496.076
NG	40477.642
NG_CCS	73607.306
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
