Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	45.332949
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_BOILER_GAS	2.018552
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.126958
DHN_HP_ELEC	8.264967
DHN_BOILER_GAS	1.580158
DHN_GEOTHERMAL	59.735366
DEC_HP_ELEC	85.455476
DEC_THERMAL_HP_GAS	36.077981
DEC_BOILER_GAS	4.631112
DEC_BOILER_OIL	2.315556
THERMAL_SOLAR	52.096695
H2_ELECTROLYSIS	0.023245
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1703.783502
NG	10928.963212
NG_CCS	1987.397272
WASTE	1671.300000
