Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	467.183768	188.450812
PV	295.120195	247.040000
WIND	743.561476	169.460000
HYDRO_DAM	1862.243409	34.969000
HYDRO_RIVER	1133.068073	326.182500
IND_BOILER_GAS	13.560163	3.515235
IND_BOILER_WASTE	11.010126	2.849652
IND_HEATER_ELEC	38.707460	2.064023
DHN_HP_ELEC	25.724105	15.205412
DHN_BOILER_GAS	10.200004	2.644172
DHN_GEOTHERMAL	176.479358	124.825468
DEC_HP_ELEC	365.778224	211.735532
DEC_THERMAL_HP_GAS	51.283548	22.433999
DEC_BOILER_GAS	49.244603	19.197355
DEC_BOILER_OIL	22.120804	17.127052
THERMAL_SOLAR	207.436996	34.038856
H2_ELECTROLYSIS	43.162186	55.345766
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	438.025393
NG	1432.989735
NG_CCS	2626.142671
WASTE	0.000000
