Technology	Installed capacity [GW]
CCGT	0.183372
PV	16.200241
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_GAS	2.206465
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.469730
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	0.320139
DHN_HP_ELEC	0.986907
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	7.306334
DHN_GEOTHERMAL	1.253880
DEC_HP_ELEC	7.382466
DEC_THERMAL_HP_GAS	2.952987
DEC_BOILER_GAS	3.371491
THERMAL_SOLAR	2.718135
H2_FROM_GAS	0.325055

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_NG	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
