Technology	Installed capacity [GW]
CCGT	0.382860
CCGT_CCS	3.208847
PV	7.836600
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_GAS	0.695805
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.646964
IND_BOILER_WASTE	1.029971
DHN_HP_ELEC	0.711467
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	1.120071
DHN_BOILER_OIL	9.853595
DHN_GEOTHERMAL	1.666156
DEC_HP_ELEC	9.313059
DEC_THERMAL_HP_GAS	3.935876
DEC_BOILER_GAS	3.935876
DEC_BOILER_OIL	1.967938
THERMAL_SOLAR	1.342713
H2_FROM_GAS	0.683186

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_NG	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	2.665327
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
