Technology	Energy output [GWh/y]
CCGT	3934.222
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	22240.319
IND_COGEN_GAS	15650.530
IND_BOILER_GAS	8999.128
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	804.347
DHN_HP_ELEC	4779.592
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_HP_ELEC	22206.477
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	9826.307
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	2359.292
H2_FROM_GAS	5146.854

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5797.521
NG	84951.530
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
