Technology	Installed capacity [GW]
CCGT	1.062116
PV	7.836600
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	5.247338
IND_COGEN_GAS	3.022184
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.432341
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	0.357528
DHN_HP_ELEC	0.589621
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	1.018169
DHN_BOILER_OIL	10.016078
DHN_GEOTHERMAL	1.727421
DEC_HP_ELEC	8.894687
DEC_THERMAL_HP_GAS	3.935876
DEC_BOILER_GAS	3.935876
DEC_BOILER_OIL	1.967938
THERMAL_SOLAR	2.409407
H2_FROM_GAS	0.683186

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	2.665327
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
