Technology	Installed capacity [GW]
PV	41.036686
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.934489
IND_COGEN_GAS	0.369973
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.123413
IND_BOILER_WASTE	1.454878
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	0.971526
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	7.317234
DHN_GEOTHERMAL	1.258359
DEC_HP_ELEC	7.382466
DEC_THERMAL_HP_GAS	2.952987
DEC_BOILER_GAS	3.311259
THERMAL_SOLAR	2.939675
H2_ELECTROLYSIS	0.483889
H2_FROM_GAS	0.483889

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_FC	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
