Technology	GWP_construction [ktCO2-eq/y]
CCGT	3.646437
PV	3424.670553
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_GAS	9.985227
IND_BOILER_GAS	1.620672
IND_BOILER_WASTE	2.489703
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	8.633604
DHN_GEOTHERMAL	39.836262
DEC_HP_ELEC	78.136678
DEC_THERMAL_HP_GAS	65.145804
DEC_BOILER_GAS	5.001770
THERMAL_SOLAR	31.623645
H2_ELECTROLYSIS	0.001639
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	10363.036906
WASTE	1671.300000
