Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	24.035804	10.465154
PV	1572.456453	1316.276042
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_GAS	21.563245	24.109839
IND_BOILER_GAS	10.887295	2.822340
IND_BOILER_WASTE	13.919839	3.602747
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	26.738853	15.805225
DHN_GEOTHERMAL	125.552069	88.804129
DEC_HP_ELEC	331.522807	191.906334
DEC_THERMAL_HP_GAS	78.847752	34.491965
DEC_BOILER_GAS	52.720272	20.552298
THERMAL_SOLAR	150.550358	24.704185
H2_ELECTROLYSIS	3.043784	3.902966
H2_FROM_GAS	11.968909	19.232838
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	2586.921065
WASTE	0.000000
