Technology	GWP_construction [ktCO2-eq/y]
PV	4466.856178
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	581.676667
IND_BOILER_GAS	1.717133
IND_BOILER_WOOD	3.157622
IND_BOILER_WASTE	3.554427
IND_HEATER_ELEC	0.157499
DHN_HP_ELEC	26.839256
DHN_BOILER_GAS	1.678934
DHN_GEOTHERMAL	109.594686
DEC_HP_ELEC	82.442293
DEC_THERMAL_HP_GAS	9.401131
DEC_BOILER_GAS	4.467818
DEC_BOILER_OIL	2.233909
THERMAL_SOLAR	110.600000
H2_ELECTROLYSIS	0.020921
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000
P2G_INVESTMENT	0.142077

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1401.347253
NG	5126.270968
WOOD	147.348000
WASTE	1671.300000
