Technology	Energy output [GWh/y]
PV	51478.656
WIND	14104.992
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	4586.400
IND_BOILER_GAS	8962.260
IND_BOILER_WOOD	9574.387
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7297.755
DHN_BOILER_GAS	4865.170
DHN_GEOTHERMAL	12162.924
DEC_HP_ELEC	22467.300
DEC_THERMAL_HP_GAS	1229.163
DEC_BOILER_GAS	8986.920
DEC_BOILER_OIL	4493.460
THERMAL_SOLAR	7757.757
POWER_TO_GAS_EFF	13741.713
GAS_TO_POWER_EFF	845.200
H2_ELECTROLYSIS	6126.554
H2_FROM_GAS	2600.367
PYROLYSIS	781.808

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	4520.475
NG	18986.189
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
