Technology	GWP_construction [ktCO2-eq/y]
CCGT	21.136085
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_GAS	28.766678
IND_COGEN_WASTE	5.006198
IND_BOILER_GAS	1.929126
IND_BOILER_WASTE	1.750951
DHN_HP_ELEC	2.615705
DHN_COGEN_GAS	6.796601
DHN_BOILER_GAS	0.815687
DHN_GEOTHERMAL	44.919385
DEC_HP_ELEC	76.797251
DEC_THERMAL_HP_GAS	75.155547
DEC_BOILER_GAS	6.076813
DEC_BOILER_OIL	2.442558
THERMAL_SOLAR	14.003372
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1561.739300
DIESEL	1693.527267
OIL	1797.231609
NG	26897.922769
WASTE	1671.300000
