End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.348233	9.075589	8.559972	8.188056	7.795269	7.260551	7.222357	7.382800	8.263533	8.754958	9.520618	9.892343	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	5.092349	5.049120	3.881931	1.243222	0.492763	0.492763	0.492763	0.492763	0.993069	2.671514	3.994904	5.818599	
HEAT_LOW_T_DECEN	11.288040	11.192215	8.604948	2.755808	1.092291	1.092291	1.092291	1.092291	2.201302	5.921856	8.855370	12.897895	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	
MOB_PRIVATE	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
