Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	619.139932	1462.295053	2400.000000	2400.000000	2400.000000	1308.804271	0.000000
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.859917	1.133273	1.260356	0.000000	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.515550	1.759146
POWER_TO_GAS	0.000000	0.000000	0.000000	2.258957	2.775879	2.775879	2.775879	2.775879	2.775879	0.000000	0.000000	0.000000
GAS_TO_POWER	2.020827	0.181351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.796359
