Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	974.886997	2400.000000	2400.000000	2400.000000	1812.087650	299.297248
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.310332	1.915474	0.000000	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.402281	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.816545	2.033320
POWER_TO_GAS	0.000000	0.000000	0.000000	0.321039	4.830966	4.830966	4.830966	4.830966	1.363780	0.000000	0.000000	0.000000
GAS_TO_POWER	0.237046	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
