Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	25.310278	0.000000	0.000000	0.000000	0.000000	468.244657	957.492803	1150.537324	920.337952	1150.537324	599.387248	127.917984
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	0.650340	0.657592	0.259468	0.000000	0.309408	0.000000	0.000000
HYDRO_TO_ELEC	0.137914	0.037664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.319721	0.000000	0.765486	0.633695
POWER_TO_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
