Storage level [GWh]	1	2	3	4	5	6	7	8	9	10	11	12
HYDRO_STORAGE	52.347732	0.000000	0.000000	0.000000	0.000000	921.827367	1866.347157	2400.000000	2400.000000	2400.000000	1737.434549	581.790251
P2G_STORAGE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000

Exchanged power [GW]
ELEC_TO_HYDRO	0.000000	0.000000	0.000000	0.000000	0.000000	1.280316	1.269516	0.717275	0.000000	0.000000	0.000000	0.000000
HYDRO_TO_ELEC	0.711616	0.077898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.920230	1.553285
POWER_TO_GAS	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
GAS_TO_POWER	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
