Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	1738.009375	1454.857523
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	456.954681	353.400000
IND_BOILER_WOOD	16.445940	4.256555
IND_BOILER_WASTE	21.080879	5.456174
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	26.393345	15.600997
DHN_GEOTHERMAL	159.445844	112.777508
DEC_HP_ELEC	232.899225	134.816778
DEC_THERMAL_HP_GAS	32.793057	14.345330
THERMAL_SOLAR	526.532276	86.400000
DEC_HEATER_ELEC	5.022241	0.262678
H2_ELECTROLYSIS	20.369869	26.119761
H2_FROM_GAS	1.744838	2.803780
GASIFICATION_SNG	101.308753	87.595647
P2G_INVESTMENT	22.034132	18.730180

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
WOOD	1141.947000
WASTE	0.000000
