Technology	Energy output [GWh/y]
PV	41189.747
WIND	12838.231
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	5326.080
IND_BOILER_WOOD	8169.935
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	17284.070
DHN_HP_ELEC	6266.200
DHN_GEOTHERMAL	6266.200
DEC_HP_ELEC	14959.270
DEC_THERMAL_HP_GAS	3542.488
THERMAL_SOLAR	7965.197
DEC_HEATER_ELEC	3451.585
POWER_TO_GAS_EFF	441.162
H2_ELECTROLYSIS	4118.564
H2_FROM_GAS	120.302
GASIFICATION_SNG	2075.463

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
