Indicator	Value [MCHF/y]
CAPEX	19145.74
OPEX	3079.34
TOTEX	22225.09

Indicator	Value [ktCO2-eq/y]
GWP_construction	6690.93
GWP_op	11246.88
GWP_total	17937.81
