Technology	Energy output [GWh/y]
CCGT_CCS	53556.078
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_BOILER_GAS	7951.302
IND_BOILER_WOOD	10585.345
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7727.484
DHN_BOILER_GAS	5151.656
DHN_GEOTHERMAL	12879.141
DEC_HP_ELEC	22109.191
DEC_BOILER_GAS	8843.677
DEC_BOILER_OIL	4421.838
THERMAL_SOLAR	6179.418
DEC_HEATER_ELEC	2664.259
POWER_TO_GAS_EFF	12869.583
H2_ELECTROLYSIS	8726.920

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5217.769
NG	13510.746
NG_CCS	93723.136
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
