Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	57.158196
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
IND_BOILER_GAS	0.783260
IND_BOILER_WOOD	2.487509
IND_BOILER_WASTE	2.558094
IND_HEATER_ELEC	0.136095
DHN_HP_ELEC	10.056121
DHN_BOILER_GAS	1.934401
DHN_GEOTHERMAL	73.364871
DEC_HP_ELEC	81.128238
DEC_BOILER_GAS	4.396605
DEC_BOILER_OIL	2.198302
THERMAL_SOLAR	79.477154
DEC_HEATER_ELEC	0.106715
H2_ELECTROLYSIS	0.023245
P2G_INVESTMENT	0.065295

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1617.508448
NG	3647.901506
NG_CCS	2530.524675
WOOD	147.348000
WASTE	1671.300000
