Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	1.619272	2.914690	3.886254	4.857817	4.857817	5.181672	5.181672	5.181672	4.210108	2.914690	1.619272	1.295418
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
IND_COGEN_GAS	0.602371	0.602371	0.532820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.602371	0.602371	0.602371
IND_BOILER_GAS	1.906459	1.906459	1.906459	1.548341	0.000000	0.000000	0.000000	0.000000	0.063225	1.906459	1.906459	1.906459
IND_BOILER_WASTE	1.439434	1.439434	1.439434	1.439434	1.038381	0.000000	0.000000	0.000000	1.439434	1.439434	1.439434	1.439434
IND_HEATER_ELEC	0.000000	0.000000	0.069551	0.960489	2.909883	3.948264	3.948264	3.948264	2.445605	0.000000	0.000000	0.000000
DHN_HP_ELEC	1.509716	1.487434	0.885828	0.014381	0.304783	0.304783	0.304783	0.304783	0.011700	0.261940	0.944058	1.884049
DHN_GEOTHERMAL	1.165841	1.165841	1.165841	0.677213	0.000000	0.000000	0.000000	0.000000	0.550957	1.165841	1.165841	1.165841
DEC_HP_ELEC	5.192562	4.942885	3.232660	0.292371	0.000000	0.000000	0.000000	0.000000	0.029060	1.788763	3.701967	6.200801
DEC_THERMAL_HP_GAS	1.650194	1.636451	1.265401	0.426552	0.187980	0.187980	0.187980	0.187980	0.347028	0.880608	1.301315	1.881070
DEC_BOILER_GAS	1.193147	1.183211	0.914928	0.308412	0.135916	0.135916	0.135916	0.135916	0.250913	0.636710	0.940896	1.360079
THERMAL_SOLAR	0.387004	0.580506	0.774009	0.774009	0.768395	0.768395	0.768395	0.768395	0.838509	0.645007	0.451505	0.322504
H2_ELECTROLYSIS	0.000000	0.000000	0.000000	0.483889	0.483889	0.483889	0.483889	0.483889	0.483889	0.000000	0.000000	0.000000
H2_FROM_GAS	0.483889	0.483889	0.483889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.483889	0.483889	0.483889

Resource [GW]
ELECTRICITY	2.547482	1.488302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.828675
NG	6.371972	6.351735	5.654413	2.300334	0.276813	0.276813	0.276813	0.276813	0.579305	5.238704	5.858224	6.711953
WASTE	1.756109	1.756109	1.756109	1.756109	1.266824	0.000000	0.000000	0.000000	1.756109	1.756109	1.756109	1.756109

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_FC	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
