Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	1238.031106	1036.334380
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_COGEN_GAS	53.281981	59.574520
IND_BOILER_GAS	9.266347	2.402138
IND_BOILER_WASTE	13.681297	3.541007
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	40.798504	24.115827
DHN_GEOTHERMAL	99.061413	70.067046
DEC_HP_ELEC	286.951234	166.105493
DEC_THERMAL_HP_GAS	68.247068	29.854694
DEC_BOILER_GAS	27.932380	10.889068
THERMAL_SOLAR	339.617092	55.728619
H2_ELECTROLYSIS	18.868378	24.194439
H2_FROM_GAS	20.717874	33.291548
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	1969.138133
WASTE	0.000000
