Technology	Energy output [GWh/y]
PV	31937.235
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_COGEN_GAS	2579.412
IND_BOILER_GAS	9487.739
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	13386.853
DHN_HP_ELEC	5976.676
DHN_GEOTHERMAL	5976.676
DEC_HP_ELEC	18431.066
DEC_THERMAL_HP_GAS	7372.426
DEC_BOILER_GAS	5330.519
THERMAL_SOLAR	5728.120
H2_ELECTROLYSIS	2125.239
H2_FROM_GAS	2113.626

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	29215.699
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
